Text,Tags
"start date : 2 / 6 / 02 ; hourahead hour : 24 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002020624 . txt
! ! ! general sql error .
couldn ' t update ; currently locked by user ' admin ' on machine ' nahou - trdts 5 ' .
table
- - - - energy import / export schedule - - - -
* * * final schedule not found for preferred schedule .
details :
trans _ type : final
sc _ id : ectstnw
mkt _ type : 2
trans _ date : 2 / 6 / 02
tie _ point : malin _ 5 _ rndmtn
interchg _ id : enrj _ ciso _ 3000
engy _ type : firm",NO_IGNORE
"attached is the latest version of the cost center assignments for the transfers out of ees . these transfers will be effective july 1 , 2001 and i need to get this to hr by friday , june 1 , 2001 to give them time to get everything effected .
i think i have incorporated all your comments , but please review one more time and make sure we have not included anyone we shouldn ' t have or excluded anyone . you ' ll note that at this point we are not forming east and west risk management cost centers . don and rogers have decided for cost management purposes to leave it consolidated at this point .
once you have signed off on your groupings , rachel massey in corporate planning will be working with each of you to forecast your q 3 and q 4 cost center expense plans .
please let me know asap of any changes and don ' t hesitate to call with questions .
thanks
wade",NO_IGNORE
"louise ,
thanks so much for your speedy reply . i will pass your comments on to dave walker in media relations .
i included kevin because he is listed with you , greg and john on a "" management "" slide . if there are others who should be
included on greg ' s core management team for the announcement , please let me know who they are and their titles . please
also let me know if it is inappropriate to include kevin . if there is an org chart , that might be helpful , too . it would
allow us to be as inclusive as possible without making the announcement too long .
thanks again ,
claudia
212 - 713 - 8508
- - - - - original message - - - - -
from : louise . kitchen @ enron . com [ mailto : louise . kitchen @ enron . com ]
sent : tuesday , february 05 , 2002 11 : 16 pm
to : robinson , claudia ; petrie , james [ ubs ] ; eber , louis [ ubs ] ; brady ,
penny [ ubs ] ; keily , ruth [ ubs ] ; mitchell , nikki [ ubs ] ;
david . forster @ enron . com ; lloyd , andrew - d [ ubs ] ; hollis , amanda [ ubs ] ;
odonnell , pat [ ubs ] ; dow , colette [ ubs ] ; louise @ enron . com ;
kal . shah @ enron . com ; david . oxley @ enron . com ; martin , audrey [ ubs ]
cc : bridges , mark [ ubs ]
subject : re : releases
just a couple of suggested changes to both .
there is a lot of confusion in the energy market as to the ownership
structure of the entity . enron had previously announced that the entiy
would be 51 % new owner and 49 % enron . we need to ensure this message is
corrected as clearly as possible - that it is 100 % ubs owner .
( see attached file : ubsw energy release draft . doc )
on the release for ubswenergy . com - we do intend to trade physical gas and
power immediately initially at least in the areas we can , so i have removed
that sentence .
( see attached file : . doc )
do you need all of the commercial md titles or is kevin picked out for a
particular reason ?
thanks
louise
- - - - - original message - - - - -
from : "" robinson , claudia "" @ enron
sent : tuesday , february 05 , 2002 7 : 45 pm
to : petrie , james [ ubs ] ; eber , louis [ ubs ] ; brady , penny [ ubs ] ;
keily , ruth [ ubs ] ; mitchell , nikki [ ubs ] ; forster , david ;
lloyd , andrew - d [ ubs ] ; hollis , amanda [ ubs ] ; odonnell , pat
[ ubs ] ; dow , colette [ ubs ] ; ' louise @ enron . com ' ; shah , kal ;
oxley , david ; martin , audrey [ ubs ]
cc : bridges , mark [ ubs ]
subject : fw : releases
attached for your review are drafts of two news releases , one announcing
the closing of the ubs warburg / energy
transaction and the other to announce the launch of ubswenergy . com . the
plan is to issue the closing announcement on
friday ( 2 / 8 ) at about 8 a . m . new york time . the other is planned for
when the website officially launches , which is
expected on monday ( 2 / 11 ) .
please forward your comments directly to david p . walker , head of media
relations - americas , sometime on wednesday .
tomorrow , i will send you drafts of the internal announcements for
friday and monday . the plan is to issue on friday a
global ubs warburg email announcement from john costas , announcing the
new management . i need from human resources
confirmed titles for louise kitchen , john lavorato and kevin presto . in
addition , we plan for friday an email from greg
whalley to employees who have signed on with ubs warburg energy , with
costas ' s announcement attached . ( both will also be
posted on ubs warburg intranets , including the integration site . ) there
will also be internal publicity on the day the
website launches : another email from whalley to energy employees and
intranet articles within ubs warburg , including the
integration site .
please let me know if you have questions .
thanks ,
claudia
212 - 713 - 8508
> > >
- . doc >
- ubsw energy release draft . doc >
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .
this e - mail is the property of enron corp . and / or its relevant affiliate and may contain confidential and privileged
material for the sole use of the intended recipient ( s ) . any review , use , distribution or disclosure by others is
strictly prohibited . if you are not the intended recipient ( or authorized to receive for the recipient ) , please contact
the sender or reply to enron corp . at enron . messaging . administration @ enron . com and delete all copies of the message .
this e - mail ( and any attachments hereto ) are not intended to be an offer ( or an acceptance ) and do not create or
evidence a binding and enforceable contract between enron corp . ( or any of its affiliates ) and the intended recipient or
any other party , and may not be relied on by anyone as the basis of a contract by estoppel or otherwise . thank you .
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .",NO_IGNORE
"fyi , kim .
- - - - - original message - - - - -
from : frazier , perry
sent : thursday , march 07 , 2002 2 : 25 pm
to : lebeau , randy ; watson , kimberly ; abdmoulaie , mansoor
subject : re : re ivanhoe e . s . d
just a couple of additional thoughts , the cost estimate for esd mods of $ 130 , 000 will typically be , about 25 % more . the e abdmoulaie , mansoor ; frazier , perry
subject : fw : re ivanhoe e . s . d
here is an estimate for the upgrade to the ivanhoe esd system . please keep in mind that the hp at the location has not been in operation for several years and if it is ever required , we may be looking a major expense for that , too . ( $ 200 , 000 + or - )
- - - - - original message - - - - -
from : jordan , fred
sent : thursday , march 07 , 2002 7 : 24 am
to : lebeau , randy
subject : re ivanhoe e . s . d
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by fred jordan / et & s / enron on 03 / 07 / 2002 07 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
>
eddie pool
03 / 07 / 2002 07 : 13 am
to : fred jordan / et & s / enron @ enron
cc :
subject : re ivanhoe e . s . d
fred
here is what i came up with on the ivanhoe station .
>",NO_IGNORE
"attached is the latest version of the cost center assignments for the transfers out of ees . these transfers will be effective july 1 , 2001 and i need to get this to hr by friday , june 1 , 2001 to give them time to get everything effected .
i think i have incorporated all your comments , but please review one more time and make sure we have not included anyone we shouldn ' t have or excluded anyone . you ' ll note that at this point we are not forming east and west risk management cost centers . don and rogers have decided for cost management purposes to leave it consolidated at this point .
once you have signed off on your groupings , rachel massey in corporate planning will be working with each of you to forecast your q 3 and q 4 cost center expense plans .
please let me know asap of any changes and don ' t hesitate to call with questions .
thanks
wade",NO_IGNORE
"fyi , kim .
- - - - - original message - - - - -
from : frazier , perry
sent : thursday , march 07 , 2002 2 : 25 pm
to : lebeau , randy ; watson , kimberly ; abdmoulaie , mansoor
subject : re : re ivanhoe e . s . d
just a couple of additional thoughts , the cost estimate for esd mods of $ 130 , 000 will typically be , about 25 % more . the e abdmoulaie , mansoor ; frazier , perry
subject : fw : re ivanhoe e . s . d
here is an estimate for the upgrade to the ivanhoe esd system . please keep in mind that the hp at the location has not been in operation for several years and if it is ever required , we may be looking a major expense for that , too . ( $ 200 , 000 + or - )
- - - - - original message - - - - -
from : jordan , fred
sent : thursday , march 07 , 2002 7 : 24 am
to : lebeau , randy
subject : re ivanhoe e . s . d
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by fred jordan / et & s / enron on 03 / 07 / 2002 07 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
>
eddie pool
03 / 07 / 2002 07 : 13 am
to : fred jordan / et & s / enron @ enron
cc :
subject : re ivanhoe e . s . d
fred
here is what i came up with on the ivanhoe station .
>",NO_IGNORE
"louise ,
thanks so much for your speedy reply . i will pass your comments on to dave walker in media relations .
i included kevin because he is listed with you , greg and john on a "" management "" slide . if there are others who should be
included on greg ' s core management team for the announcement , please let me know who they are and their titles . please
also let me know if it is inappropriate to include kevin . if there is an org chart , that might be helpful , too . it would
allow us to be as inclusive as possible without making the announcement too long .
thanks again ,
claudia
212 - 713 - 8508
- - - - - original message - - - - -
from : louise . kitchen @ enron . com [ mailto : louise . kitchen @ enron . com ]
sent : tuesday , february 05 , 2002 11 : 16 pm
to : robinson , claudia ; petrie , james [ ubs ] ; eber , louis [ ubs ] ; brady ,
penny [ ubs ] ; keily , ruth [ ubs ] ; mitchell , nikki [ ubs ] ;
david . forster @ enron . com ; lloyd , andrew - d [ ubs ] ; hollis , amanda [ ubs ] ;
odonnell , pat [ ubs ] ; dow , colette [ ubs ] ; louise @ enron . com ;
kal . shah @ enron . com ; david . oxley @ enron . com ; martin , audrey [ ubs ]
cc : bridges , mark [ ubs ]
subject : re : releases
just a couple of suggested changes to both .
there is a lot of confusion in the energy market as to the ownership
structure of the entity . enron had previously announced that the entiy
would be 51 % new owner and 49 % enron . we need to ensure this message is
corrected as clearly as possible - that it is 100 % ubs owner .
( see attached file : ubsw energy release draft . doc )
on the release for ubswenergy . com - we do intend to trade physical gas and
power immediately initially at least in the areas we can , so i have removed
that sentence .
( see attached file : . doc )
do you need all of the commercial md titles or is kevin picked out for a
particular reason ?
thanks
louise
- - - - - original message - - - - -
from : "" robinson , claudia "" @ enron
sent : tuesday , february 05 , 2002 7 : 45 pm
to : petrie , james [ ubs ] ; eber , louis [ ubs ] ; brady , penny [ ubs ] ;
keily , ruth [ ubs ] ; mitchell , nikki [ ubs ] ; forster , david ;
lloyd , andrew - d [ ubs ] ; hollis , amanda [ ubs ] ; odonnell , pat
[ ubs ] ; dow , colette [ ubs ] ; ' louise @ enron . com ' ; shah , kal ;
oxley , david ; martin , audrey [ ubs ]
cc : bridges , mark [ ubs ]
subject : fw : releases
attached for your review are drafts of two news releases , one announcing
the closing of the ubs warburg / energy
transaction and the other to announce the launch of ubswenergy . com . the
plan is to issue the closing announcement on
friday ( 2 / 8 ) at about 8 a . m . new york time . the other is planned for
when the website officially launches , which is
expected on monday ( 2 / 11 ) .
please forward your comments directly to david p . walker , head of media
relations - americas , sometime on wednesday .
tomorrow , i will send you drafts of the internal announcements for
friday and monday . the plan is to issue on friday a
global ubs warburg email announcement from john costas , announcing the
new management . i need from human resources
confirmed titles for louise kitchen , john lavorato and kevin presto . in
addition , we plan for friday an email from greg
whalley to employees who have signed on with ubs warburg energy , with
costas ' s announcement attached . ( both will also be
posted on ubs warburg intranets , including the integration site . ) there
will also be internal publicity on the day the
website launches : another email from whalley to energy employees and
intranet articles within ubs warburg , including the
integration site .
please let me know if you have questions .
thanks ,
claudia
212 - 713 - 8508
> > >
- . doc >
- ubsw energy release draft . doc >
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .
this e - mail is the property of enron corp . and / or its relevant affiliate and may contain confidential and privileged
material for the sole use of the intended recipient ( s ) . any review , use , distribution or disclosure by others is
strictly prohibited . if you are not the intended recipient ( or authorized to receive for the recipient ) , please contact
the sender or reply to enron corp . at enron . messaging . administration @ enron . com and delete all copies of the message .
this e - mail ( and any attachments hereto ) are not intended to be an offer ( or an acceptance ) and do not create or
evidence a binding and enforceable contract between enron corp . ( or any of its affiliates ) and the intended recipient or
any other party , and may not be relied on by anyone as the basis of a contract by estoppel or otherwise . thank you .
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .",NO_IGNORE
"louise ,
thanks so much for your speedy reply . i will pass your comments on to dave walker in media relations .
i included kevin because he is listed with you , greg and john on a "" management "" slide . if there are others who should be
included on greg ' s core management team for the announcement , please let me know who they are and their titles . please
also let me know if it is inappropriate to include kevin . if there is an org chart , that might be helpful , too . it would
allow us to be as inclusive as possible without making the announcement too long .
thanks again ,
claudia
212 - 713 - 8508
- - - - - original message - - - - -
from : louise . kitchen @ enron . com [ mailto : louise . kitchen @ enron . com ]
sent : tuesday , february 05 , 2002 11 : 16 pm
to : robinson , claudia ; petrie , james [ ubs ] ; eber , louis [ ubs ] ; brady ,
penny [ ubs ] ; keily , ruth [ ubs ] ; mitchell , nikki [ ubs ] ;
david . forster @ enron . com ; lloyd , andrew - d [ ubs ] ; hollis , amanda [ ubs ] ;
odonnell , pat [ ubs ] ; dow , colette [ ubs ] ; louise @ enron . com ;
kal . shah @ enron . com ; david . oxley @ enron . com ; martin , audrey [ ubs ]
cc : bridges , mark [ ubs ]
subject : re : releases
just a couple of suggested changes to both .
there is a lot of confusion in the energy market as to the ownership
structure of the entity . enron had previously announced that the entiy
would be 51 % new owner and 49 % enron . we need to ensure this message is
corrected as clearly as possible - that it is 100 % ubs owner .
( see attached file : ubsw energy release draft . doc )
on the release for ubswenergy . com - we do intend to trade physical gas and
power immediately initially at least in the areas we can , so i have removed
that sentence .
( see attached file : . doc )
do you need all of the commercial md titles or is kevin picked out for a
particular reason ?
thanks
louise
- - - - - original message - - - - -
from : "" robinson , claudia "" @ enron
sent : tuesday , february 05 , 2002 7 : 45 pm
to : petrie , james [ ubs ] ; eber , louis [ ubs ] ; brady , penny [ ubs ] ;
keily , ruth [ ubs ] ; mitchell , nikki [ ubs ] ; forster , david ;
lloyd , andrew - d [ ubs ] ; hollis , amanda [ ubs ] ; odonnell , pat
[ ubs ] ; dow , colette [ ubs ] ; ' louise @ enron . com ' ; shah , kal ;
oxley , david ; martin , audrey [ ubs ]
cc : bridges , mark [ ubs ]
subject : fw : releases
attached for your review are drafts of two news releases , one announcing
the closing of the ubs warburg / energy
transaction and the other to announce the launch of ubswenergy . com . the
plan is to issue the closing announcement on
friday ( 2 / 8 ) at about 8 a . m . new york time . the other is planned for
when the website officially launches , which is
expected on monday ( 2 / 11 ) .
please forward your comments directly to david p . walker , head of media
relations - americas , sometime on wednesday .
tomorrow , i will send you drafts of the internal announcements for
friday and monday . the plan is to issue on friday a
global ubs warburg email announcement from john costas , announcing the
new management . i need from human resources
confirmed titles for louise kitchen , john lavorato and kevin presto . in
addition , we plan for friday an email from greg
whalley to employees who have signed on with ubs warburg energy , with
costas ' s announcement attached . ( both will also be
posted on ubs warburg intranets , including the integration site . ) there
will also be internal publicity on the day the
website launches : another email from whalley to energy employees and
intranet articles within ubs warburg , including the
integration site .
please let me know if you have questions .
thanks ,
claudia
212 - 713 - 8508
> > >
- . doc >
- ubsw energy release draft . doc >
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .
this e - mail is the property of enron corp . and / or its relevant affiliate and may contain confidential and privileged
material for the sole use of the intended recipient ( s ) . any review , use , distribution or disclosure by others is
strictly prohibited . if you are not the intended recipient ( or authorized to receive for the recipient ) , please contact
the sender or reply to enron corp . at enron . messaging . administration @ enron . com and delete all copies of the message .
this e - mail ( and any attachments hereto ) are not intended to be an offer ( or an acceptance ) and do not create or
evidence a binding and enforceable contract between enron corp . ( or any of its affiliates ) and the intended recipient or
any other party , and may not be relied on by anyone as the basis of a contract by estoppel or otherwise . thank you .
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .",NO_IGNORE
"attached is the latest version of the cost center assignments for the transfers out of ees . these transfers will be effective july 1 , 2001 and i need to get this to hr by friday , june 1 , 2001 to give them time to get everything effected .
i think i have incorporated all your comments , but please review one more time and make sure we have not included anyone we shouldn ' t have or excluded anyone . you ' ll note that at this point we are not forming east and west risk management cost centers . don and rogers have decided for cost management purposes to leave it consolidated at this point .
once you have signed off on your groupings , rachel massey in corporate planning will be working with each of you to forecast your q 3 and q 4 cost center expense plans .
please let me know asap of any changes and don ' t hesitate to call with questions .
thanks
wade",NO_IGNORE
"start date : 2 / 6 / 02 ; hourahead hour : 24 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002020624 . txt
! ! ! general sql error .
couldn ' t update ; currently locked by user ' admin ' on machine ' nahou - trdts 5 ' .
table
- - - - energy import / export schedule - - - -
* * * final schedule not found for preferred schedule .
details :
trans _ type : final
sc _ id : ectstnw
mkt _ type : 2
trans _ date : 2 / 6 / 02
tie _ point : malin _ 5 _ rndmtn
interchg _ id : enrj _ ciso _ 3000
engy _ type : firm",NO_IGNORE
"attached is the latest version of the cost center assignments for the transfers out of ees . these transfers will be effective july 1 , 2001 and i need to get this to hr by friday , june 1 , 2001 to give them time to get everything effected .
i think i have incorporated all your comments , but please review one more time and make sure we have not included anyone we shouldn ' t have or excluded anyone . you ' ll note that at this point we are not forming east and west risk management cost centers . don and rogers have decided for cost management purposes to leave it consolidated at this point .
once you have signed off on your groupings , rachel massey in corporate planning will be working with each of you to forecast your q 3 and q 4 cost center expense plans .
please let me know asap of any changes and don ' t hesitate to call with questions .
thanks
wade",NO_IGNORE
"fyi , kim .
- - - - - original message - - - - -
from : frazier , perry
sent : thursday , march 07 , 2002 2 : 25 pm
to : lebeau , randy ; watson , kimberly ; abdmoulaie , mansoor
subject : re : re ivanhoe e . s . d
just a couple of additional thoughts , the cost estimate for esd mods of $ 130 , 000 will typically be , about 25 % more . the e abdmoulaie , mansoor ; frazier , perry
subject : fw : re ivanhoe e . s . d
here is an estimate for the upgrade to the ivanhoe esd system . please keep in mind that the hp at the location has not been in operation for several years and if it is ever required , we may be looking a major expense for that , too . ( $ 200 , 000 + or - )
- - - - - original message - - - - -
from : jordan , fred
sent : thursday , march 07 , 2002 7 : 24 am
to : lebeau , randy
subject : re ivanhoe e . s . d
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by fred jordan / et & s / enron on 03 / 07 / 2002 07 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
>
eddie pool
03 / 07 / 2002 07 : 13 am
to : fred jordan / et & s / enron @ enron
cc :
subject : re ivanhoe e . s . d
fred
here is what i came up with on the ivanhoe station .
>",NO_IGNORE
"hi ,
i am forwarding an email from a former bnp paribas colleague of mine who now works at hsbc .
can you please advise ?
thanks ,
iris
- - - - - original message - - - - -
from : antonella . saulle @ hsbcib . com @ enron [ mailto : imceanotes - antonella + 2 esaulle + 40 hsbcib + 2 ecom + 40 enron @ enron . com ]
sent : tuesday , may 22 , 2001 1 : 30 am
to : mack , iris
subject : memo : re : your work phone number
iris
i would like you to put me in contact with s / one at enron here in london that
deals with weather derivatives and would be in a position to sell us options on
weather derivatives ( temperature , cat ) . let me know if you are able to do that
or if i need to work internally here in order to find out whom we have contacts
with at enron .
if you want to call me my direct line is + 44 207 336 - 2836 . alternatively i could
call you but do bear in mind that i leave the office around 6 : 30 - 7 pm london
time . send me an email and let me know when is a good time to talk and i will
call you back .
thanks in advance .
antonella
this transmission has been issued by a member of the hsbc group ( "" hsbc "" )
for the information of the addressee only and should not be reproduced
and / or distributed to any other person . each page attached hereto must
be read in conjunction with any disclaimer which forms part of it . unless
otherwise stated , this transmission is neither an offer nor the solicitation
of an offer to sell or purchase any investment . its contents are based on
information obtained from sources believed to be reliable but hsbc makes
no representation and accepts no responsibility or liability as to its
completeness or accuracy .",NO_IGNORE
"i tried calling you this am but your phone rolled to someone else ' s voicemail . can you call me when you get a chance ?
- - - - - original message - - - - -
from : farmer , daren j .
sent : thursday , january 10 , 2002 2 : 06 pm
to : hill , garrick
subject : re : tenaska iv
rick ,
i ' ve had a couple of meetings today . i ' m sorry i ' m just getting back to you . i tried to call but the voice mail said that you were unavailable . so , give me a call when you get a chance .
d
- - - - - original message - - - - -
from : hill , garrick
sent : wednesday , january 09 , 2002 6 : 11 pm
to : farmer , daren j .
subject : re : tenaska iv
i ' ll call you on thursday . . . what ' s a good time ?
- - - - - original message - - - - -
from : farmer , daren j .
sent : wednesday , january 09 , 2002 3 : 03 pm
to : hill , garrick
cc : olsen , michael
subject : tenaska iv
rick ,
we need to talk about the ability of ena to continue its the current role as agent of tenaska iv .
1 ) since the end on november , ena has not been able to complete gas trading transactions . we cannot find any counterparties to trade physical gas in texas . this , of course , is due to the bankruptcy . as a result , we are not able to sale tenaska ' s excess fuel . we did contact brazos to ask if they would buy a portion of the gas at a gas daily price , but they do not want it ( gas daily pricing has been below the firm contract price for a while ) . in december , we had to cut 10 , 000 / day from the 7 th through the 27 th . for january , we haven ' t had to cut yet , but i am sure that the pipe will ask us to do this in the near future .
2 ) for november activity ( which was settled in dec ) , ena owes tenaska iv for the excess supply that we sold . however , due to the bankruptcy , we could not make payments out . ena could not pay the suppliers or the pipeline . james armstrong paid the counterparties directly . i think that he should continue to do this for dec and jan . we should not transfer any funds from tenaska iv to ena .
i don ' t know how enron ' s ownership in the plant factors out in the bankruptcy preceding . but we need to determine how to go forward with the fuel management .
please give me a call or e - mail me . we can get together sometime thurs or fri morning .
d",NO_IGNORE
